"Story","Title","Result","Date","Stability","Duration (s)"
"Демо-тесты на примере страницы из Wikipedia","Поиск на главной странице","SUCCESS","2017-11-27T00:07:31.8744804+03:00[Europe/Moscow]","0.0","14.68"
"Демо-тесты на примере страницы из Wikipedia","Поиск со страницы статьи","SUCCESS","2017-11-27T00:07:46.5569041+03:00[Europe/Moscow]","0.0","7.76"
